Module number	Module name	KO definition
M00185	Sulfate transport system	K02048+K02046+K02047+K02045
M00157	F-type ATPase, prokaryotes and chloroplasts	K02111+K02112+K02113+K02114+K02115+K02108+K02109+K02110
M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	K01812 K00041 (K01685,K16849+K16850) K00874 (K01625,K17463)
M00357	Methanogenesis, acetate => methane	(K00925 (K00625,K13788),K01895) (K00193+K00197+K00194) (K00577+K00578+K00579+K00580+K00581-K00582-K00583+K00584) (K00399+K00401+K00402) (K22480+K22481+K22482,K03388+K03389+K03390,K08264+K08265,K03388+K03389+K03390+K14127+(K14126+K14128,K22516+K00125))
M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	K00615 (K00616,K13810) K01783 (K01807,K01808)
M00160	V-type ATPase, eukaryotes	K02145+K02147+K02148+K02149+K02150+K02151+K02152+K02144+K02154+(K03661,K02155)+K02146+K02153+K03662
M00319	Manganese/zinc/iron transport system	K11707+K11708+K11709+K11710
M00325	alpha-Hemolysin/cyclolysin transport system	K11004+K11003+K12340
M00152	Cytochrome bc1 complex	(K00412+K00413,K00410)+K00411+K00414+K00415+K00416+K00417+K00418+K00419+K00420
M00345	Formaldehyde assimilation, ribulose monophosphate pathway	((K08093,K13812) K08094,K13831) (K00850,K16370) K01624
M00346	Formaldehyde assimilation, serine pathway	K00600 K00830 K00018 K11529 K01689 K01595 K00024 K08692+K14067 K08691
M00317	Manganese/iron transport system	K11604+K11605+K11606+K11607
M00318	Iron/zinc/manganese/copper transport system	K11704+K11705+K11706
M00620	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	K00169+K00170+K00171+K00172 K01959+K01960 K00024 K01677+K01678 K18209+K18210 K01902+K01903 K00174+K00175+K00176+K00177
M00356	Methanogenesis, methanol => methane	K14080+K04480+K14081 K00399+K00401+K00402 (K22480+K22481+K22482,K03388+K03389+K03390,K08264+K08265,K03388+K03389+K03390+K14127+(K14126+K14128,K22516+K00125))
M00567	Methanogenesis, CO2 => methane	(K00200+K00201+K00202+K00203-K11261+(K00205,K11260,K00204)) K00672 K01499 (K00319,K13942) K00320 (K00577+K00578+K00579+K00580+K00581-K00582-K00583+K00584) (K00399+K00401+K00402) (K22480+K22481+K22482,K03388+K03389+K03390,K08264+K08265,K03388+K03389+K03390+K14127+(K14126+K14128,K22516+K00125))
M00175	Nitrogen fixation, nitrogen => ammonia	K02588+K02586+K02591-K00531
M00308	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	K05308 K00874 K01625 (K00134 K00927,K00131,K18978)
M00358	Coenzyme M biosynthesis	K08097 K05979 K05884 K13039+K06034
M00148	Succinate dehydrogenase (ubiquinone)	K00236+K00237+K00234+K00235
M00155	Cytochrome c oxidase, prokaryotes	K02275+(K02274+K02276,K15408)-K02277
M00596	Dissimilatory sulfate reduction, sulfate => H2S	((K00956+K00957),K00958) K00394+K00395 K11180+K11181
M00740	Methylaspartate cycle	K01647 K01681 K00031 K00261 K19268+K01846 K04835 K19280 K14449 K19281 K19282 K00024
M00528	Nitrification, ammonia => nitrite	K10944+K10945+K10946 K10535
M00266	PTS system, maltose/glucose-specific II component	K02777+K02790+K02791
M00529	Denitrification, nitrate => nitrogen	(K00370+K00371+K00374,K02567+K02568) (K00368,K15864) (K04561+K02305,K15877) K00376
M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	K00036 (K01057,K07404) K01690 K01625
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	(K00164+K00658+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+K00237,K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)
M00438	Nitrate/nitrite transport system	K15576+K15577+K15578-K15579
M00153	Cytochrome bd ubiquinol oxidase	K00425+K00426+(K00424,K22501)
M00159	V/A-type ATPase, prokaryotes	K02117+K02118+K02119+K02120+K02121+K02122+K02107+K02123+K02124
M00531	Assimilatory nitrate reduction, nitrate => ammonia	(K00367,K10534,K00372-K00360) (K00366,K17877)
M00309	Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate	K05308 (K11395,K18127) (K18020+K18021+K18022,K18128,K03738)
M00240	Iron complex transport system	K02016+K02015+K02013
M00374	Dicarboxylate-hydroxybutyrate cycle	K00169+K00170+K00171+K00172 K01007 K01595 K00024 (K01676,K01677+K01678) (K00239+K00240-K00241-K18860) K01902+K01903 (K15038,K15017) K14465 (K14467,K18861) K14534 K15016 K00626
M00804	Complete nitrification, comammox, ammonia => nitrite => nitrate	K10944+K10945+K10946 K10535 K00370+K00371
M00582	Energy-coupling factor transport system	(K03523,K16923,K16924,K16925,K16926,K16927,K16928,K16929)+K16785+K16786+K16787
M00422	Acetyl-CoA pathway, CO2 => acetyl-CoA	K00192+K00195 K00193+K00197+K00194
M00272	PTS system, beta-glucoside (arbutin/salicin/cellobiose)-specific II component	K02777+K02752+K02753
M00298	Multidrug/hemolysin transport system	K11051+K11050
M00579	Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	(K00625,K13788,K15024) K00925
M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate	((K01810,K06859,K13810) (K01809,K16011),K15916) (K16881,(K17497,K01840,K15778) (K00966,K00971,K16011)) K10046 K14190 (K10047,K18649) (K00064,K17744) K00225
