Module	Mean MCR (Shrimp Hole)	Mean MCR (all others)	p.value
Incomplete.reductive.citrate.cycle..acetyl.CoA....oxoglutarate	0.329120879	0.457142857	0.056274684
Methanogenesis..methanol....methane	0.145299145	0.121099291	0.516115303
Methanogenesis..CO2....methane	0.166266026	0.152460106	0.258953596
Nitrogen.fixation..nitrogen....ammonia	0.128205128	0.035460993	0.467346456
Semi.phosphorylative.Entner.Doudoroff.pathway..gluconate....glycerate.3P	0.376923077	0.285106383	0.059731581
Coenzyme.M.biosynthesis	0.043269231	0.055851064	0.871774575
Succinate.dehydrogenase..ubiquinone.	0.000798118	0	0.019056608
Cytochrome.c.oxidase..prokaryotes	0.346153846	0.186122076	0.095650483
Dissimilatory.sulfate.reduction..sulfate....H2S	0.307692308	0.244680851	0.211754128
Methylaspartate.cycle	0.258741259	0.205029014	0.043302012
Nitrification..ammonia....nitrite	0	0	NA
PTS.system..maltose.glucose.specific.II.component	0.075642687	0.158879704	0.330423764
Denitrification..nitrate....nitrogen	0.117788462	0.20212766	0.024870764
Entner.Doudoroff.pathway..glucose.6P....glyceraldehyde.3P...pyruvate	0.211538462	0.04787234	0.005692504
Citrate.cycle..second.carbon.oxidation..2.oxoglutarate....oxaloacetate	0.746153846	0.713475177	0.495692702
Nitrate.nitrite.transport.system	0.038461538	0	0.188208278
Cytochrome.bd.ubiquinol.oxidase	0.256410256	0.170212766	0.135378412
V.A.type.ATPase..prokaryotes	0.229114755	0.321599643	0.344491789
Assimilatory.nitrate.reduction..nitrate....ammonia	0.25	0.255319149	0.590873204
Non.phosphorylative.Entner.Doudoroff.pathway..gluconate.galactonate....glycerate	0.153846154	0.106382979	0.23343378
Iron.complex.transport.system	0.631063334	0.63359163	0.716238702
Dicarboxylate.hydroxybutyrate.cycle	0.37943787	0.370703764	0.403950596
Complete.nitrification..comammox..ammonia....nitrite....nitrate	0.025641026	0	0.058173246
Energy.coupling.factor.transport.system	0.173076923	0.10106383	0.890841755
Acetyl.CoA.pathway..CO2....acetyl.CoA	0.163461538	0.135638298	0.410608328
PTS.system..beta.glucoside..arbutin.salicin.cellobiose..specific.II.component	0.075642687	0.158879704	0.330423764
Multidrug.hemolysin.transport.system	0	0	NA
Phosphate.acetyltransferase.acetate.kinase.pathway..acetyl.CoA....acetate	0.365384615	0.063829787	0.000221092
Ascorbate.biosynthesis..plants..glucose.6P....ascorbate	0.299145299	0.255319149	0.141583688
			
MAGs in group x:			
Methanomicrobia_41			
Flavobacteriales_7			
Sulfurovum_43			
Thiotrichales_56			
Methanomicrobia_84			
Desulfobacterales_74			
Methanomicrobia_45			
Nanohaloarchaea_54			
Thiotrichales_3			
Pseudomonadales_5			
Alteromonadales_3			
Alteromonadales_3b			
Methanomicrobia_78			
Bacteroidetes_37			
Caldilinea_115			
Deltaproteobacteria NaphS2_10			
Clostridia_8			
Clostridia_4			
Thermoprotei_16			
Nanohaloarchaea_18			
Pseudomonadales_3			
Pseudomonadales_4			
Pseudomonadales_1			
Sphingomonadales_2			
Sphingomonadales_5			
Sphingomonadales_4			
