Vent Field	Vent Name	Sample Year	Sample number	Bin number	Taxonomic category	Phylosift taxonomy (class)	SNVs/kb	Allele Frequency	SAAVs/SNVs	Mean coverage	Normalized coverage	Total length of bin (bp)	Number of contigs	N50	GC Content	Percent Complete (anvi'o)	Percent redundancy (anvi'o)
Piccard	"X-19 at BV #4, BVM"	2012	FS854	Bin_69	Euryarchaea	Methanococci	10.67532045	0.789	0.278	75.67659468	4.002E-07	1855682	214	13265	32.54431141	96.91358025	6.790123457
Piccard	"X-19 at BV #4, BVM"	2012	FS854	Bin_13	Euryarchaea	Methanococci	2.148487056	0.647	0.295	155.063185	6.663E-08	1221790	121	24181	33.71055656	74.69135802	4.938271605
Piccard	"X-19 at BV #4, BVM"	2012	FS854	Bin_43	Gammaproteobacteria	Thiotrichales	4.719510922	0.818	0.388	21.56022038	5.342E-07	3056037	153	35308	39.28487768	98.56115108	2.158273381
Piccard	"X-19 at BV #4, BVM"	2012	FS854	Bin_10	Gammaproteobacteria	Thiotrichales	1.281477581	0.687	0.353	119.5267089	1.206E-07	2377724	124	27513	38.12650254	84.17266187	6.474820144
Piccard	"X-19 at BV #4, BVM"	2012	FS854	Bin_60	Gammaproteobacteria	Thiotrichales	1.868032936	0.711	0.367	1059.147475	1.499E-07	1675024	97	24097	39.04730257	71.22302158	5.035971223
Piccard	"X-19 at BV #4, BVM"	2012	FS854	Bin_110	Zetaproteobacteria	Zetaproteobacteria	4.185684823	0.698	0.293	88.29694371	1.596E-07	1922505	139	21628	43.19157526	99.28057554	1.438848921
Von Damm	Ginger Castle	2012	FS848	Bin_13	Euryarchaeota	Methanococci	4.008269779	0.732	0.253	258.2121029	4.449E-07	987209	120	10373	40.77744395	91.97530864	6.790123457
Von Damm	Ginger Castle	2012	FS848	Bin_21	Gammaproteobacteria	Thiotrichales	23.67722297	0.779	0.239	163.7586837	5.046E-07	2125207	409	5818	39.666089	79.85611511	3.597122302
Von Damm	Hot Cracks #2	2013	FS879	Bin_14	Aquificae	Aquificales	1.062609576	0.633	0.442	953.2056448	4.794E-07	1161292	27	62976	42.56243373	94.24460432	1.438848921
Von Damm	Hot Cracks #2	2013	FS879	Bin_26	Deltaproteobacteria	Desulfobacterales	8.03779078	0.663	0.342	25.52970998	5.406E-07	1944813	236	9635	41.92731718	73.38129496	6.474820144
Von Damm	Hot Cracks #2	2013	FS879	Bin_34	Gammaproteobacteria	Thiotrichales	6.172826492	0.689	0.308	29.33957502	5.110E-07	2371523	521	4664	36.990689	84.17266187	1.438848921
Von Damm	Hot Cracks #2	2013	FS879	Bin_33	Gammaproteobacteria	Thiotrichales	12.5582947	0.672	0.274	27.78148181	5.793E-07	1774604	321	6217	40.95918338	80.57553957	8.633093525
Von Damm	near Main Orifice	2013	FS866	Bin_14	Aquificae	Aquificales	1.635890757	0.643	0.262	18.34103116	4.100E-07	1748283	254	8500	56.13818535	90.74074074	4.320987654
Von Damm	near Main Orifice	2013	FS866	Bin_21	Aquificae	Aquificales	14.02698681	0.818	0.211	38.47709301	4.524E-06	974550	167	7333	27.84331051	75.53956835	2.158273381
Von Damm	near Main Orifice	2013	FS866	Bin_23	Crenarchaeota	Thermoprotei	12.6142256	0.737	0.258	370.0835751	1.773E-06	1328183	136	14300	43.09438674	86.41975309	7.407407407
Von Damm	near Main Orifice	2013	FS866	Bin_20	Crenarchaeota	Thermoprotei	18.39626843	0.835	0.179	140.75955	5.220E-06	1234870	207	6823	44.42460892	84.56790123	9.259259259
Von Damm	near Main Orifice	2013	FS866	Bin_7	Euryarchaeota	Methanococci	0.837024742	0.834	0.210	38.5154862	8.661E-06	1054927	41	40104	40.91457689	98.14814815	4.320987654
Von Damm	near Main Orifice	2013	FS866	Bin_4	Euryarchaeota	Thermococci	10.57421036	0.707	0.249	27.81654563	8.068E-07	1115828	131	9981	43.53073615	71.60493827	3.703703704
Von Damm	near Main Orifice	2013	FS866	Bin_31	Gammaproteobacteria	Sulfurovum	37.36103498	0.815	0.289	64.18352613	2.762E-06	1835174	321	6559	34.36028648	74.82014388	4.316546763
Von Damm	near Main Orifice	2013	FS866	Bin_43	Nanoarchaeota	Nanoarchaeales	3.407597613	0.669	0.239	26.91579801	5.981E-07	662050	88	11733	32.44338112	74.69135802	1.851851852
Von Damm	Old Man Tree	2013	FS881	Bin_4	Alphaproteobacteria	Sphingomonadales	4.004854101	0.917	0.161	246.6464148	1.301E-06	3620856	247	21965	66.14914705	98.56115108	2.158273381
Von Damm	Old Man Tree	2013	FS881	Bin_24	Aquificae	Aquificales	6.367577362	0.705	0.211	33.49829422	1.583E-06	1088326	82	19278	43.06398626	98.7654321	4.320987654
Von Damm	Old Man Tree	2013	FS881	Bin_33	Aquificae	Aquificales	6.146425653	0.877	0.393	46.0551651	3.553E-06	1569042	56	36798	28.78182263	97.84172662	4.316546763
Von Damm	Old Man Tree	2013	FS881	Bin_21	Aquificae	Aquificales	9.800214972	0.836	0.272	34.43979704	2.127E-06	1415071	124	17393	38.29870085	93.52517986	0
Von Damm	Old Man Tree	2013	FS881	Bin_40	Aquificae	Aquificales	2.319182804	0.616	0.389	39.06001065	4.912E-06	1138332	48	38151	42.36373153	93.52517986	0
Von Damm	Old Man Tree	2013	FS881	Bin_29	Crenarchaeota	Thermoprotei	11.48568209	0.772	0.264	10.58986814	3.738E-07	1645527	205	11230	55.93336406	93.20987654	7.407407407
Von Damm	Old Man Tree	2013	FS881	Bin_16	Crenarchaeota	Thermoprotei	24.46163225	0.823	0.222	116.8407055	4.440E-07	1236794	139	12129	36.2660475	92.59259259	5.555555556
Von Damm	Old Man Tree	2013	FS881	Bin_32	Crenarchaeota	Thermoprotei	11.58369378	0.806	0.230	45.80404201	1.695E-06	1273428	131	14876	43.39123975	90.12345679	8.024691358
Von Damm	Old Man Tree	2013	FS881	Bin_18	Euryarchaeota	Nanohaloarchaea	7.450301259	0.772	0.299	134.820015	3.191E-07	554340	86	7457	30.47192497	77.16049383	3.086419753
Von Damm	Old Man Tree	2013	FS881	Bin_5	Gammaproteobacteria	Pseudomonadales	0.698512729	0.882	0.417	223.705044	3.118E-07	5099406	423	17325	64.94775728	100	5.755395683
Von Damm	Old Man Tree	2013	FS881	Bin_3	Gammaproteobacteria	Pseudomonadales	0.275086522	0.888	0.236	20.8390446	1.429E-06	3653396	72	101120	38.786589	99.28057554	0.71942446
Von Damm	Old Man Tree	2013	FS881	Bin_43	Gammaproteobacteria	Sulfurovum	18.7950332	0.801	0.281	71.35271193	6.333E-07	1943705	167	16326	38.89695984	90.64748201	2.877697842
Von Damm	Old Man Tree	2013	FS881	Bin_45	Gammaproteobacteria	Sulfurovum	11.18724734	0.802	0.268	15.44768747	1.530E-06	1736799	161	14653	35.74327772	79.85611511	1.438848921
Von Damm	Old Man Tree	2013	FS881	Bin_27	Gammaproteobacteria	Thiotrichales	12.6503465	0.767	0.237	46.56878337	3.166E-07	1541855	163	12136	55.14918127	97.12230216	2.158273381
Von Damm	Old Man Tree	2013	FS881	Bin_50	Thaumarchaeota	Candidatus Caldiarchaeum	13.17362562	0.779	0.258	171.3343635	2.691E-07	1150101	169	8935	48.90791691	77.77777778	3.703703704
Von Damm	Ravelin #2	2012	FS842	Bin_5	Crenarchaeota	Thermoprotei	19.18056423	0.815	0.226	207.5684952	4.030E-06	1296990	121	14514	44.77912101	94.44444444	7.407407407
Von Damm	Ravelin #2	2012	FS842	Bin_4	Crenarchaeota	Thermoprotei	15.56500066	0.804	0.236	273.637649	2.556E-06	823707	135	6742	44.56241039	72.22222222	7.407407407
Von Damm	Ravelin #2	2012	FS842	Bin_3	Gammaproteobacteria	Thiotrichales	2.384075202	0.917	0.228	1106.825136	1.488E-05	2910982	101	53129	47.82146656	99.28057554	0
Von Damm	Shrimp Buttery	2013	FS877	Bin_2	Alphaproteobacteria	Sphingomonadales	6.856275687	0.827	0.160	133.6991684	8.460E-07	3076014	496	7118	65.99194335	89.92805755	2.877697842
Von Damm	Shrimp Buttery	2013	FS877	Bin_3	Gammaproteobacteria	Alteromonadales	10.62509374	0.755	0.141	154.9422504	9.804E-07	3093808	449	8650	44.20835175	79.13669065	2.158273381
Von Damm	Shrimp Buttery	2013	FS877	Bin_1	Gammaproteobacteria	Pseudomonadales	2.290588252	0.897	0.167	475.4468603	3.008E-06	3634001	85	74409	38.70091249	99.28057554	1.438848921
Von Damm	Shrimp Hole	2012	FS844	Bin_37	Bacteroidetes	Bacteroidetes	13.9509686	0.706	0.295	12.41542315	2.438E-07	1738804	304	6394	29.40983016	82.73381295	5.035971223
Von Damm	Shrimp Hole	2012	FS844	Bin_115	Chloroflexi	Caldilinea	6.569857026	0.746	0.261	14.00052508	2.801E-07	2865968	253	15926	61.79903786	97.12230216	3.597122302
Von Damm	Shrimp Hole	2012	FS844	Bin_10	Deltaproteobacteria	Deltaproteobacteria NaphS2	11.42732958	0.731	0.335	13.23454558	2.653E-07	2181087	186	16757	47.61763168	97.12230216	2.877697842
Von Damm	Shrimp Hole	2012	FS844	Bin_16	Deltaproteobacteria	Desulfobacterales	7.684685044	0.679	0.236	15.00276526	1.751E-07	2054606	385	5794	42.3198646	83.45323741	3.597122302
Von Damm	Shrimp Hole	2012	FS844	Bin_74	Deltaproteobacteria	Desulfobacterales	2.598456096	0.786	0.279	232.0226173	3.674E-07	2808206	137	41120	45.74807114	82.01438849	5.755395683
Von Damm	Shrimp Hole	2012	FS844	Bin_45	Euryarchaeota	Methanomicrobia	3.820683001	0.804	0.340	282.4516164	3.534E-06	2054083	215	13038	32.51686676	92.59259259	5.555555556
Von Damm	Shrimp Hole	2012	FS844	Bin_41	Euryarchaeota	Methanomicrobia	2.409191994	0.818	0.320	633.8977489	1.344E-06	4041604	546	9643	40.2339061	91.97530864	9.87654321
Von Damm	Shrimp Hole	2012	FS844	Bin_78	Euryarchaeota	Methanomicrobia	6.194152601	0.762	0.330	379.4789008	3.677E-07	1349660	130	13392	39.02667289	75.30864198	2.469135802
Von Damm	Shrimp Hole	2012	FS844	Bin_84	Euryarchaeota	Methanomicrobia	0.313633759	0.682	0.264	876.3035273	2.656E-07	2824951	335	10744	43.11688413	73.45679012	10.49382716
Von Damm	Shrimp Hole	2012	FS844	Bin_54	Euryarchaeota	Nanohaloarchaea	11.37919508	0.801	0.337	66.68940913	6.128E-07	1310286	207	7335	30.54149841	73.45679012	4.320987654
Von Damm	Shrimp Hole	2013	FS872	Bin_4	Firmicutes	Clostridia	3.168550086	0.771	0.281	79.2101289	1.146E-06	2896593	411	8290	65.95802891	89.92805755	2.158273381
Von Damm	Shrimp Hole	2013	FS872	Bin_8	Firmicutes	Clostridia	13.15129581	0.778	0.276	302.3364885	4.217E-06	2673881	421	7091	64.92632812	87.76978417	7.913669065
Von Damm	Shrimp Hole	2012	FS844	Bin_20	Flavobacteriia	Flavobacteriales	8.866226181	0.702	0.246	56.92473889	2.570E-07	1651661	197	10575	30.95904438	93.52517986	2.158273381
Von Damm	Shrimp Hole	2012	FS844	Bin_43	Gammaproteobacteria	Sulfurovum	11.94917847	0.803	0.300	55.61939831	2.355E-06	1918793	239	10177	34.57601823	97.12230216	1.438848921
Von Damm	Shrimp Hole	2012	FS844	Bin_13	Gammaproteobacteria	Sulfurovum	13.1604625	0.786	0.201	254.9556981	3.198E-07	1767871	212	12779	38.54371238	92.8057554	5.755395683
Von Damm	Shrimp Hole	2012	FS844	Bin_56	Gammaproteobacteria	Thiotrichales	16.44206808	0.772	0.257	112.9801979	4.397E-07	1626012	188	10962	36.20469254	95.68345324	0
Von Damm	Twin Peaks	2013	FS874	Bin_5	Alphaproteobacteria	Sphingomonadales	2.927399792	0.845	0.311	273.0222399	3.087E-06	3462800	383	12200	66.22722143	94.96402878	2.877697842
Von Damm	Twin Peaks	2013	FS874	Bin_3	Gammaproteobacteria	Alteromonadales	13.87406482	0.738	0.128	56.48229649	4.070E-06	2374142	548	4396	44.44987738	76.97841727	2.158273381
Von Damm	Twin Peaks	2013	FS874	Bin_4	Gammaproteobacteria	Pseudomonadales	1.040739109	0.909	0.271	48.00691011	1.646E-05	3646447	67	115893	38.81243479	99.28057554	0.71942446
																	
																	
																	
